type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
chamfer mill,,Chamfering Bit - 1/8″ Shank,Chamfering Bit - 1/8″ Shank,https://www.makera.com/products/chamfering-bit-1-8-shank,carbide,none,disabled,38.0,1.9125,3.175,21.5,3.175,2,3.0,3.175,0.1,45.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,12000.0,600.0,200.0,600.0,600.0,True,38.0,taperedbullnose,millimeters
chamfer mill,,UV Solder Mask Removal Tool,UV Solder Mask Removal Tool,https://www.makera.com/products/uv-solder-mask-removal-tool-1-8-shank,carbide,none,disabled,46.0,26.4125,3.175,3.0,2.0,1,3.0,2.0,0.3,15.0,0.0,0.0,0.0,0.0,60,0,0,0,PCB,8000.0,400.0,200.0,400.0,400.0,True,46.0,taperedbullnose,millimeters
