type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
thread mill,,Carvera M1 Threadmill,Carvera M1 Threadmill,https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081,carbide,none,disabled,38.0,21.4125,3.175,3.0,0.29698,3,2.0,0.73,0.0,0.0,0.0,0.0,0.0,0.25,60,1,0,0,Plastic,10000.0,100.0,100.0,100.0,100.0,True,38.0,None,millimeters
thread mill,,Carvera M2 Threadmill,Carvera M2 Threadmill,https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849,carbide,none,disabled,38.0,18.4125,3.175,6.0,0.84717,3,2.0,1.54,0.0,0.0,0.0,0.0,0.0,0.4,60,1,0,0,Plastic,10000.0,300.0,300.0,300.0,300.0,True,38.0,None,millimeters
thread mill,,Carvera M2.5 Threadmill,Carvera M2.5 Threadmill,https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860603617,carbide,none,disabled,38.0,16.9125,3.175,7.5,1.18057,3,2.0,1.96,0.0,0.0,0.0,0.0,0.0,0.45,60,1,0,0,Plastic,10000.0,300.0,300.0,300.0,300.0,True,38.0,None,millimeters
thread mill,,Carvera M3 Threadmill,Carvera M3 Threadmill,https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860636385,carbide,none,disabled,38.0,15.4125,3.175,9.0,1.55397,3,2.0,2.42,0.0,0.0,0.0,0.0,0.0,0.5,60,1,0,0,Plastic,10000.0,400.0,400.0,400.0,400.0,True,38.0,None,millimeters
thread mill,,Carvera M4 Threadmill,Carvera M4 Threadmill,https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860669153,carbide,none,disabled,38.0,12.4125,3.175,12.0,1.93756,3,2.0,3.15,0.0,0.0,0.0,0.0,0.0,0.7,60,1,0,0,Plastic,10000.0,400.0,400.0,400.0,400.0,True,38.0,None,millimeters
thread mill,,Carvera M5 Threadmill,Carvera M5 Threadmill,https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860701921,carbide,none,disabled,38.0,9.4125,3.175,15.0,2.61435,3,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8,60,1,0,0,Plastic,10000.0,400.0,400.0,400.0,400.0,True,38.0,None,millimeters
