type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
drill,Makera,1.9*12mm Drill,1.9*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849396961,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,1.9,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,1*10mm Drill,1*10mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849102049,carbide,none,disabled,38.0,12.75,6.5,10.0,0.0,2,10.0,1.0,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.1*12mm Drill,2.1*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849462497,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.1,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.2*12mm Drill,2.2*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849528033,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.2,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.3*12mm Drill,2.3*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849560801,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.29999,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.4*12mm Drill,2.4*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849593569,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.4,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.5*12mm Drill,2.5*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849626337,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.5,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.6*12mm Drill,2.6*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849659105,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.6,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.7*12mm Drill,2.7*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849691873,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.7,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.8*12mm Drill,2.8*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849724641,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.8,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2.9*12mm Drill,2.9*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849757409,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.9,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,2*12mm Drill,2*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849429729,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,2.0,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,3.175*12mm Drill,3.175*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849822945,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,3.175,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
drill,Makera,3*12mm Drill,3*12mm Drill,https://www.makera.com/products/tin-coating-drill-bit-1-8-shank?variant=43974849790177,carbide,none,disabled,38.0,10.75,6.5,12.0,0.0,2,12.0,3.0,0.0,118.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,10000.0,0.0,100.0,0.0,0.0,True,38.0,taperedbullnose,millimeters
