type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
flat end mill,China,MCD_Polish_D6x3,MCD-Polish-D6x3,https://de.aliexpress.com/item/1005010484441858.html?spm=a2g0o.order_list.order_list_main.81.46a15c5fhxJVQD&gatewayAdapt=glo2deu#nav-specification,carbide,None,Mist,51.82,38.82,6.0,5.0,4.28,1,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0,0.0,0.0,Default,15000.0,1500.0,1125.0,1500.0,1500.0,True,33.32,None,millimeters
chamfer mill,China,MCD-Polish-Chamfer-D6x90x3,MCD-Polish-Chamfer-D6x90x4,https://de.aliexpress.com/item/1005010484441858.html?spm=a2g0o.order_list.order_list_main.81.46a15c5fhxJVQD&gatewayAdapt=glo2deu#nav-specification,carbide,None,Mist,50.45,32.0,6.0,2.0,6.0,2,3.0,6.0,0.1,0.0,0.0,45.0,0.0,0.0,60.0,0,0.0,0.0,Default,15000.0,300.0,600.0,150.0,300.0,True,32.04999,None,millimeters
