type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
chamfer mill,Dreanique,"A3.175-20°-0.1 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-20°-0.1,,Carbide,TAC,Mist,38.1,0,3.175,3.1268,3.175,1,3.1268,3.175,0,0,0,10.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-30°-0.1 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-30°-0.1,,Carbide,TAC,Mist,38.1,0,3.175,3.0668,3.175,1,3.0668,3.175,0,0,0,15.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-45°-0.1 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-45°-0.1,,Carbide,TAC,Mist,38.1,0,3.175,2.9333,3.175,1,2.9333,3.175,0,0,0,22.5,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-30°-0.1 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-30°-0.1,,Carbide,TAC,Mist,50.0,0,6.0,5.7956,6.0,1,5.7956,6.0,0,0,0,15.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-60°-0.1 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-60°-0.1,,Carbide,TAC,Mist,50.0,0,6.0,5.1962,6.0,1,5.1962,6.0,0,0,0,30.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-90°-0.1 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-90°-0.1,,Carbide,TAC,Mist,50.0,0,6.0,4.2426,6.0,1,4.2426,6.0,0,0,0,45.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-20°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-20°-0.2,,Carbide,TAC,Mist,38.1,0,3.175,3.1268,3.175,1,3.1268,3.175,0,0,0,10.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-30°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-30°-0.2,,Carbide,TAC,Mist,38.1,0,3.175,3.0668,3.175,1,3.0668,3.175,0,0,0,15.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-45°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-45°-0.2,,Carbide,TAC,Mist,38.1,0,3.175,2.9333,3.175,1,2.9333,3.175,0,0,0,22.5,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-60°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-60°-0.2,,Carbide,TAC,Mist,38.1,0,3.175,2.7496,3.175,1,2.7496,3.175,0,0,0,30.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-90°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-90°-0.2,,Carbide,TAC,Mist,38.1,0,3.175,2.2451,3.175,1,2.2451,3.175,0,0,0,45.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-30°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-30°-0.2,,Carbide,TAC,Mist,50.0,0,6.0,5.7956,6.0,1,5.7956,6.0,0,0,0,15.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-60°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-60°-0.2,,Carbide,TAC,Mist,50.0,0,6.0,5.1962,6.0,1,5.1962,6.0,0,0,0,30.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
