type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
chamfer mill,Dreanique,"A6-90°-0.2 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-90°-0.2,,Carbide,TAC,Mist,50.0,0,6.0,4.2426,6.0,1,4.2426,6.0,0,0,0,45.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-20°-0.3 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-20°-0.3,,Carbide,TAC,Mist,38.1,0,3.175,3.1268,3.175,1,3.1268,3.175,0,0,0,10.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-30°-0.3 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-30°-0.3,,Carbide,TAC,Mist,38.1,0,3.175,3.0668,3.175,1,3.0668,3.175,0,0,0,15.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A3.175-45°-0.3 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A3.175-45°-0.3,,Carbide,TAC,Mist,38.1,0,3.175,2.9333,3.175,1,2.9333,3.175,0,0,0,22.5,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-30°-0.3 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-30°-0.3,,Carbide,TAC,Mist,50.0,0,6.0,5.7956,6.0,1,5.7956,6.0,0,0,0,15.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-60°-0.3 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-60°-0.3,,Carbide,TAC,Mist,50.0,0,6.0,5.1962,6.0,1,5.1962,6.0,0,0,0,30.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"A6-90°-0.3 | suitable for Non-Ferrous, PCB, Engraving, V-carving",A6-90°-0.3,,Carbide,TAC,Mist,50.0,0,6.0,4.2426,6.0,1,4.2426,6.0,0,0,0,45.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R0.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R0.5,,Carbide,TAC,Mist,50.0,0,6.0,2.0,1.0,2,2.0,1.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R0.5-H4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R0.5-H4,,Carbide,TAC,Mist,50.0,0,4.0,2.0,1.0,2,2.0,1.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R0.75 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R0.75,,Carbide,TAC,Mist,50.0,0,6.0,3.0,1.5,2,3.0,1.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R0.75-H4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R0.75-H4,,Carbide,TAC,Mist,50.0,0,4.0,3.0,1.5,2,3.0,1.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1,,Carbide,TAC,Mist,50.0,0,6.0,4.0,2.0,2,4.0,2.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1.0-H4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1.0-H4,,Carbide,TAC,Mist,50.0,0,4.0,4.0,2.0,2,4.0,2.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1.25 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1.25,,Carbide,TAC,Mist,50.0,0,6.0,5.0,2.5,2,5.0,2.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1.25-H4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1.25-H4,,Carbide,TAC,Mist,50.0,0,4.0,5.0,2.5,2,5.0,2.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1.5,,Carbide,TAC,Mist,50.0,0,6.0,6.0,3.0,2,6.0,3.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1.5-H4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1.5-H4,,Carbide,TAC,Mist,50.0,0,4.0,6.0,3.0,2,6.0,3.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R1.75 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R1.75,,Carbide,TAC,Mist,50.0,0,6.0,8.0,3.5,2,8.0,3.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R2 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R2,,Carbide,TAC,Mist,50.0,0,6.0,8.0,4.0,2,8.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R2-H4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R2-H4,,Carbide,TAC,Mist,50.0,0,4.0,8.0,4.0,2,8.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R2.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R2.5,,Carbide,TAC,Mist,50.0,0,6.0,10.0,5.0,2,10.0,5.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R2.75 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R2.75,,Carbide,TAC,Mist,50.0,0,6.0,12.0,5.5,2,12.0,5.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R3 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R3,,Carbide,TAC,Mist,50.0,0,6.0,12.0,6.0,2,12.0,6.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R3.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R3.5,,Carbide,TAC,Mist,60.0,0,8.0,14.0,7.0,2,14.0,7.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R4,,Carbide,TAC,Mist,60.0,0,8.0,16.0,8.0,2,16.0,8.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R4.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R4.5,,Carbide,TAC,Mist,75.0,0,10.0,18.0,9.0,2,18.0,9.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R5,,Carbide,TAC,Mist,75.0,0,10.0,20.0,10.0,2,20.0,10.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R6 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R6,,Carbide,TAC,Mist,75.0,0,12.0,24.0,12.0,2,24.0,12.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R7 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R7,,Carbide,TAC,Mist,75.0,0,14.0,28.0,14.0,2,28.0,14.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R8 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R8,,Carbide,TAC,Mist,100.0,0,16.0,32.0,16.0,2,32.0,16.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R9 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R9,,Carbide,TAC,Mist,100.0,0,18.0,36.0,18.0,2,36.0,18.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2B-R10 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2B-R10,,Carbide,TAC,Mist,100.0,0,20.0,40.0,20.0,2,40.0,20.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R1 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R1,,Carbide,TAC,Mist,75.0,0,6.0,4.0,2.0,2,4.0,2.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R1.25 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R1.25,,Carbide,TAC,Mist,75.0,0,6.0,5.0,2.5,2,5.0,2.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R1.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R1.5,,Carbide,TAC,Mist,75.0,0,6.0,6.0,3.0,2,6.0,3.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R1.75 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R1.75,,Carbide,TAC,Mist,75.0,0,6.0,8.0,3.5,2,8.0,3.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R2 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R2,,Carbide,TAC,Mist,75.0,0,6.0,8.0,4.0,2,8.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R2.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R2.5,,Carbide,TAC,Mist,75.0,0,6.0,10.0,5.0,2,10.0,5.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R2.75 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R2.75,,Carbide,TAC,Mist,75.0,0,6.0,12.0,5.5,2,12.0,5.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R3 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R3,,Carbide,TAC,Mist,75.0,0,6.0,12.0,6.0,2,12.0,6.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R3.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R3.5,,Carbide,TAC,Mist,75.0,0,8.0,14.0,7.0,2,14.0,7.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R4 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R4,,Carbide,TAC,Mist,100.0,0,8.0,16.0,8.0,2,16.0,8.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R4.5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R4.5,,Carbide,TAC,Mist,100.0,0,10.0,18.0,9.0,2,18.0,9.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R5 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R5,,Carbide,TAC,Mist,100.0,0,10.0,20.0,10.0,2,20.0,10.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R6 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R6,,Carbide,TAC,Mist,100.0,0,12.0,24.0,12.0,2,24.0,12.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R7 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R7,,Carbide,TAC,Mist,100.0,0,14.0,28.0,14.0,2,28.0,14.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R8 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R8,,Carbide,TAC,Mist,150.0,0,16.0,32.0,16.0,2,32.0,16.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R9 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R9,,Carbide,TAC,Mist,150.0,0,18.0,36.0,18.0,2,36.0,18.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
ball end mill,Dreanique,"AP2BL-R10 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",AP2BL-R10,,Carbide,TAC,Mist,150.0,0,20.0,40.0,20.0,2,40.0,20.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D1.0-L03 | suitable for Acrylic,ASP1F-D1.0-L03,,Carbide,TAC,Mist,38.1,0,3.175,3.0,1.0,1,3.0,1.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D1.0-L04 | suitable for Acrylic,ASP1F-D1.0-L04,,Carbide,TAC,Mist,38.1,0,3.175,4.0,1.0,1,4.0,1.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D1.5-L05 | suitable for Acrylic,ASP1F-D1.5-L05,,Carbide,TAC,Mist,38.1,0,3.175,5.0,1.5,1,5.0,1.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D2.0-L04 | suitable for Acrylic,ASP1F-D2.0-L04,,Carbide,TAC,Mist,38.1,0,3.175,4.0,2.0,1,4.0,2.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D2.0-L06 | suitable for Acrylic,ASP1F-D2.0-L06,,Carbide,TAC,Mist,38.1,0,3.175,6.0,2.0,1,6.0,2.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D2.0-L08 | suitable for Acrylic,ASP1F-D2.0-L08,,Carbide,TAC,Mist,38.1,0,3.175,8.0,2.0,1,8.0,2.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D2.5-L06 | suitable for Acrylic,ASP1F-D2.5-L06,,Carbide,TAC,Mist,38.1,0,3.175,6.0,2.5,1,6.0,2.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D2.5-L08 | suitable for Acrylic,ASP1F-D2.5-L08,,Carbide,TAC,Mist,38.1,0,3.175,8.0,2.5,1,8.0,2.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D2.5-L10 | suitable for Acrylic,ASP1F-D2.5-L10,,Carbide,TAC,Mist,38.1,0,3.175,10.0,2.5,1,10.0,2.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L06 | suitable for Acrylic,ASP1F-D3.1-L06,,Carbide,TAC,Mist,38.1,0,3.175,6.0,3.175,1,6.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L08 | suitable for Acrylic,ASP1F-D3.1-L08,,Carbide,TAC,Mist,38.1,0,3.175,8.0,3.175,1,8.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L10 | suitable for Acrylic,ASP1F-D3.1-L10,,Carbide,TAC,Mist,38.1,0,3.175,10.0,3.175,1,10.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L12 | suitable for Acrylic,ASP1F-D3.1-L12,,Carbide,TAC,Mist,38.1,0,3.175,12.0,3.175,1,12.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L15 | suitable for Acrylic,ASP1F-D3.1-L15,,Carbide,TAC,Mist,38.1,0,3.175,15.0,3.175,1,15.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L17 | suitable for Acrylic,ASP1F-D3.1-L17,,Carbide,TAC,Mist,38.1,0,3.175,17.0,3.175,1,17.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D3.1-L22 | suitable for Acrylic,ASP1F-D3.1-L22,,Carbide,TAC,Mist,50.0,0,3.175,22.0,3.175,1,22.0,3.175,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D4.0-L08 | suitable for Acrylic,ASP1F-D4.0-L08,,Carbide,TAC,Mist,50.0,0,4.0,8.0,4.0,1,8.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D4.0-L12 | suitable for Acrylic,ASP1F-D4.0-L12,,Carbide,TAC,Mist,50.0,0,4.0,12.0,4.0,1,12.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D4.0-L15 | suitable for Acrylic,ASP1F-D4.0-L15,,Carbide,TAC,Mist,50.0,0,4.0,15.0,4.0,1,15.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D4.0-L17 | suitable for Acrylic,ASP1F-D4.0-L17,,Carbide,TAC,Mist,50.0,0,4.0,17.0,4.0,1,17.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D4.0-L22 | suitable for Acrylic,ASP1F-D4.0-L22,,Carbide,TAC,Mist,50.0,0,4.0,22.0,4.0,1,22.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D5.0-L20 | suitable for Acrylic,ASP1F-D5.0-L20,,Carbide,TAC,Mist,50.0,0,5.0,20.0,5.0,1,20.0,5.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D6.0-L12 | suitable for Acrylic,ASP1F-D6.0-L12,,Carbide,TAC,Mist,50.0,0,6.0,12.0,6.0,1,12.0,6.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D6.0-L15 | suitable for Acrylic,ASP1F-D6.0-L15,,Carbide,TAC,Mist,50.0,0,6.0,15.0,6.0,1,15.0,6.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,ASP1F-D6.0-L17 | suitable for Acrylic,ASP1F-D6.0-L17,,Carbide,TAC,Mist,50.0,0,6.0,17.0,6.0,1,17.0,6.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
